epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31098.8,1.03061,1.05956,1.17509,0.76928,0.68756,0.75119,0.50608,1.00047,0.8145,1.03206,0.00675546,0.00675546,0.00675546
43,31837.9,1.03298,1.0569,1.17495,0.77151,0.69005,0.75324,0.50779,0.99881,0.81025,1.03054,0.0066191,0.0066191,0.0066191
44,32578.8,1.02697,1.05075,1.17321,0.77381,0.69282,0.7553,0.50976,0.99732,0.80593,1.02911,0.00648164,0.00648164,0.00648164
45,33319.6,1.02575,1.05062,1.17119,0.77471,0.69626,0.75742,0.51098,0.99529,0.80242,1.0275,0.00634322,0.00634322,0.00634322
46,34059.3,1.02329,1.04391,1.16859,0.77517,0.69852,0.75886,0.51251,0.99389,0.79886,1.02613,0.00620396,0.00620396,0.00620396
47,34800.1,1.02164,1.04036,1.16669,0.77501,0.69864,0.76121,0.5144,0.99234,0.79559,1.02469,0.006064,0.006064,0.006064
48,35540.3,1.01809,1.03509,1.16513,0.77759,0.70009,0.76377,0.51668,0.99081,0.79189,1.02313,0.00592349,0.00592349,0.00592349
49,36279.4,1.01625,1.0296,1.16387,0.78132,0.70226,0.76603,0.51861,0.98937,0.78797,1.02187,0.00578256,0.00578256,0.00578256
50,37018.5,1.01131,1.02416,1.16225,0.78383,0.70354,0.76862,0.52073,0.98746,0.78434,1.02022,0.00564135,0.00564135,0.00564135
51,37756.3,1.01124,1.01999,1.16122,0.78215,0.70498,0.77053,0.52254,0.98607,0.78064,1.01872,0.0055,0.0055,0.0055
52,38495.2,1.00817,1.01787,1.15886,0.78164,0.70796,0.77224,0.52411,0.98441,0.77704,1.01716,0.00535865,0.00535865,0.00535865
53,39232.1,1.00243,1.00928,1.15728,0.7836,0.70907,0.77418,0.52597,0.98275,0.77363,1.01583,0.00521744,0.00521744,0.00521744
54,39968.2,1.00255,1.00743,1.15532,0.78564,0.71056,0.77705,0.52864,0.98109,0.77018,1.01439,0.00507651,0.00507651,0.00507651
55,40706,1.00075,1.00254,1.15301,0.78543,0.71329,0.77942,0.53196,0.9794,0.76678,1.01304,0.004936,0.004936,0.004936
56,41444.1,0.99805,1.0004,1.15289,0.78777,0.71537,0.78102,0.53387,0.97825,0.76396,1.01206,0.00479604,0.00479604,0.00479604
57,42182.2,0.99592,0.99467,1.15047,0.79048,0.71775,0.78372,0.53637,0.97703,0.76064,1.0109,0.00465678,0.00465678,0.00465678
58,42921.9,0.99151,0.98515,1.14958,0.78906,0.72144,0.78604,0.53806,0.97549,0.7569,1.00942,0.00451836,0.00451836,0.00451836
59,43660.4,0.98862,0.98464,1.14772,0.79085,0.72502,0.78747,0.54005,0.9734,0.75352,1.00803,0.0043809,0.0043809,0.0043809
60,44399.1,0.9867,0.9777,1.14651,0.79588,0.72363,0.79096,0.54244,0.97145,0.75055,1.00673,0.00424454,0.00424454,0.00424454
