epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,26649.1,1.11538,1.23002,1.34228,0.55347,0.47259,0.48686,0.30256,1.20136,1.17826,1.42068,0.005743,0.005743,0.005743
45,27252.4,1.11847,1.22737,1.34189,0.55264,0.47662,0.4903,0.30452,1.20028,1.17313,1.41921,0.005644,0.005644,0.005644
46,27855.7,1.11161,1.21887,1.33903,0.55346,0.47869,0.49231,0.30573,1.19887,1.16884,1.41806,0.005545,0.005545,0.005545
47,28463.7,1.11054,1.21964,1.33929,0.55784,0.47957,0.49555,0.30803,1.19754,1.16423,1.41694,0.005446,0.005446,0.005446
48,29069.2,1.10841,1.21582,1.33775,0.56115,0.48237,0.49825,0.31018,1.19595,1.15979,1.41541,0.005347,0.005347,0.005347
49,29674.1,1.10522,1.21165,1.33595,0.55722,0.48364,0.50058,0.31198,1.19457,1.15596,1.41405,0.005248,0.005248,0.005248
50,30279,1.10367,1.2081,1.33273,0.55966,0.48703,0.50381,0.31356,1.19343,1.15235,1.41247,0.005149,0.005149,0.005149
51,30884.6,1.1053,1.20568,1.33434,0.56613,0.48598,0.50693,0.3155,1.19254,1.14786,1.41134,0.00505,0.00505,0.00505
52,31492.9,1.10434,1.20748,1.33312,0.56634,0.48774,0.5093,0.31732,1.19023,1.14399,1.40893,0.004951,0.004951,0.004951
53,32097.1,1.09874,1.19473,1.32955,0.5668,0.48865,0.51099,0.31888,1.18809,1.14024,1.4068,0.004852,0.004852,0.004852
54,32702.5,1.09972,1.1931,1.32978,0.5718,0.48909,0.51286,0.32026,1.18676,1.13732,1.40553,0.004753,0.004753,0.004753
55,33304.8,1.09487,1.18863,1.32767,0.57808,0.48727,0.51504,0.32204,1.18511,1.13273,1.40389,0.004654,0.004654,0.004654
56,33910.9,1.09612,1.19329,1.32668,0.58205,0.48873,0.51724,0.32357,1.18376,1.12852,1.40293,0.004555,0.004555,0.004555
57,34513.6,1.0906,1.18123,1.32411,0.58465,0.49035,0.52047,0.32549,1.18355,1.12495,1.40271,0.004456,0.004456,0.004456
58,35115.4,1.08888,1.18363,1.32556,0.588,0.49036,0.5229,0.32698,1.18268,1.12155,1.40226,0.004357,0.004357,0.004357
59,35720.2,1.0916,1.18623,1.32455,0.59218,0.49147,0.52542,0.32856,1.18254,1.11801,1.40185,0.004258,0.004258,0.004258
60,36322.9,1.08809,1.1759,1.32318,0.60056,0.48912,0.52774,0.32917,1.18226,1.11546,1.40161,0.004159,0.004159,0.004159
61,36928.9,1.08828,1.17342,1.32008,0.60295,0.48958,0.52998,0.33092,1.1819,1.11271,1.40147,0.00406,0.00406,0.00406
62,37534.6,1.08586,1.17311,1.31969,0.60509,0.49139,0.53173,0.3324,1.18081,1.10983,1.40063,0.003961,0.003961,0.003961
63,38139.1,1.08602,1.16773,1.3176,0.60565,0.49653,0.53377,0.33365,1.1802,1.10698,1.40029,0.003862,0.003862,0.003862
64,38744.4,1.08061,1.16526,1.31736,0.60869,0.49662,0.5358,0.33515,1.1799,1.10456,1.39996,0.003763,0.003763,0.003763
