epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,973.402,1.45908,2.03757,1.5173,0.37087,0.39485,0.32716,0.18603,1.45345,1.66287,1.35948,0.0700057,0.0033327,0.0033327
2,1930.64,1.4075,1.72694,1.48537,0.45048,0.43072,0.39332,0.23242,1.39964,1.51297,1.35181,0.0400049,0.00666531,0.00666531
3,2884.83,1.44804,1.75807,1.52614,0.47651,0.44178,0.42395,0.2424,1.41354,1.4492,1.3742,0.0100013,0.00999503,0.00999503
4,3834.64,1.42521,1.71887,1.51735,0.50859,0.49462,0.47984,0.28677,1.32725,1.3049,1.31408,0.00999023,0.00999023,0.00999023
5,4788.43,1.36161,1.60093,1.46895,0.57035,0.53739,0.54453,0.32999,1.26297,1.20178,1.2665,0.00998264,0.00998264,0.00998264
6,5739.59,1.32884,1.54534,1.44963,0.5957,0.55758,0.5705,0.34883,1.2351,1.14454,1.24497,0.00997288,0.00997288,0.00997288
7,6691.93,1.30428,1.50392,1.43259,0.62187,0.57172,0.58981,0.3669,1.20098,1.10378,1.22328,0.00996097,0.00996097,0.00996097
8,7644.13,1.2873,1.46618,1.4148,0.63043,0.5857,0.60525,0.37867,1.18657,1.07311,1.20788,0.0099469,0.0099469,0.0099469
9,8596,1.27711,1.44171,1.40275,0.65372,0.59308,0.62402,0.39117,1.17602,1.05236,1.19781,0.00993068,0.00993068,0.00993068
10,9547.12,1.2632,1.42279,1.39673,0.66151,0.60245,0.63486,0.39949,1.16741,1.03808,1.1916,0.00991232,0.00991232,0.00991232
11,10496.6,1.25457,1.40371,1.38778,0.66965,0.6056,0.64184,0.40481,1.1614,1.02581,1.18662,0.00989183,0.00989183,0.00989183
12,11446.8,1.24808,1.38678,1.38407,0.67478,0.6086,0.64663,0.40936,1.15607,1.01793,1.18296,0.00986922,0.00986922,0.00986922
13,12397,1.23959,1.37721,1.37594,0.68241,0.60968,0.65154,0.41423,1.14987,1.00939,1.17821,0.00984449,0.00984449,0.00984449
14,13347.8,1.23789,1.36742,1.37521,0.68221,0.61265,0.65571,0.41799,1.1458,1.00216,1.17503,0.00981765,0.00981765,0.00981765
15,14299,1.23045,1.35883,1.36885,0.68136,0.62051,0.66117,0.42188,1.14278,0.99551,1.17188,0.00978873,0.00978873,0.00978873
16,15250.4,1.22771,1.3482,1.36673,0.68692,0.62197,0.66688,0.42633,1.13909,0.9888,1.16875,0.00975773,0.00975773,0.00975773
17,16200.6,1.22307,1.34168,1.36301,0.68708,0.62666,0.67019,0.42982,1.136,0.98354,1.16627,0.00972466,0.00972466,0.00972466
18,17151.6,1.21912,1.33229,1.35711,0.69264,0.62915,0.67364,0.43276,1.13359,0.97777,1.16389,0.00968955,0.00968955,0.00968955
19,18103.4,1.22013,1.33232,1.35595,0.69924,0.63175,0.67927,0.43699,1.13134,0.97095,1.16131,0.00965239,0.00965239,0.00965239
20,19053.6,1.21396,1.3259,1.35479,0.70432,0.63262,0.68455,0.44121,1.12914,0.96442,1.15876,0.00961322,0.00961322,0.00961322
21,20003.9,1.21083,1.31904,1.35063,0.70983,0.63271,0.68846,0.44548,1.12565,0.95837,1.15555,0.00957205,0.00957205,0.00957205
