epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3084.52,1.32868,1.61381,1.57888,0.53541,0.58214,0.52885,0.30748,1.28409,1.17839,1.41048,0.0700021,0.0033331,0.0033331
2,6102.46,1.28493,1.4851,1.54538,0.59718,0.61207,0.58336,0.34921,1.23848,1.08575,1.38879,0.0400014,0.00666571,0.00666571
3,9114.82,1.3468,1.61201,1.60111,0.61813,0.60491,0.61585,0.36416,1.28624,1.12645,1.42712,0.00999778,0.00999542,0.00999542
4,12124.6,1.33153,1.60113,1.59876,0.65169,0.63455,0.6369,0.39019,1.19681,1.04124,1.36396,0.00999023,0.00999023,0.00999023
5,15137.3,1.26116,1.46377,1.54006,0.69757,0.66992,0.70153,0.44028,1.15033,0.95594,1.32787,0.00998264,0.00998264,0.00998264
6,18149.3,1.22523,1.39716,1.5116,0.7211,0.67999,0.73492,0.46721,1.13026,0.90327,1.31007,0.00997288,0.00997288,0.00997288
7,21161.5,1.19323,1.33834,1.48353,0.73412,0.69717,0.75298,0.48389,1.10979,0.87366,1.29183,0.00996097,0.00996097,0.00996097
8,24175.5,1.17547,1.30323,1.46745,0.754,0.70074,0.76814,0.49806,1.08884,0.85139,1.27608,0.0099469,0.0099469,0.0099469
9,27190.2,1.16029,1.27364,1.45593,0.75859,0.7124,0.77765,0.50911,1.07638,0.83281,1.26629,0.00993068,0.00993068,0.00993068
10,30203.4,1.14673,1.24345,1.44019,0.76945,0.71585,0.78541,0.51657,1.06786,0.8184,1.25844,0.00991232,0.00991232,0.00991232
11,33219.6,1.13929,1.22841,1.43343,0.77607,0.7215,0.79225,0.52285,1.06182,0.80635,1.25199,0.00989183,0.00989183,0.00989183
12,36235.7,1.12798,1.21215,1.42406,0.78011,0.73024,0.79848,0.5283,1.05645,0.79605,1.24653,0.00986922,0.00986922,0.00986922
13,39262.9,1.12226,1.19928,1.41801,0.7874,0.73224,0.80408,0.53349,1.05185,0.78679,1.24157,0.00984449,0.00984449,0.00984449
